DocType: Accounting Period,Period Name,期间名称
DocType: BOM,Allow Same Item Multiple Times,允许相同物料多次出现
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Create BOM,创建BOM
DocType: Employee,Attendance and Leave Details,考勤与休假
DocType: Pricing Rule,Period Settings,期间设置
DocType: Quality Feedback Template,Quality Feedback Template,质量反馈模板
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTR3B-Form,GSTR3B表格
DocType: Sales Invoice,Is Discounted,已贴现
apps/erpnext/erpnext/utilities/activation.py,Create Quotation,创建报价
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Last Issue,最后一期
DocType: Quality Procedure Table,Step,步
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Enter value betweeen {0} and {1},输入{0}和{1}之间的值
apps/erpnext/erpnext/regional/india/bank_remittance.py,{0} field is limited to size {1},{0}字段的大小限制为{1}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Value Proposition,确定价值主张
DocType: Service Level Priority,Resolution Time Period,解决时间段
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.js,Document {0} successfully uncleared,单据{0}成功未清除
DocType: Tally Migration,Is Day Book Data Processed,是否处理了日记簿数据
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Items for Raw Material Request,用于物料申请的物料号
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,All bank transactions have been created,已创建所有银行交易
DocType: Stock Entry Detail,Against Stock Entry,关联库存移动单
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Process Master Data,处理主数据
apps/erpnext/erpnext/buying/doctype/supplier_quotation/supplier_quotation.py,Supplier {0} not found in {1},在{1}中找不到供应商{0}
DocType: Salary Component,Round to the Nearest Integer,取整数
DocType: Leave Control Panel,Department (optional),部门（可选）
DocType: Task Type,Task Type,任务类型
apps/erpnext/erpnext/hr/report/bank_remittance/bank_remittance.py,Debit A/C Number,借记科目编号
DocType: Shift Type,Enable Entry Grace Period,启用上班迟到宽限期
DocType: Student Applicant,LMS Only,仅限访问学习系统网站
DocType: Shopping Cart Settings,Show Contact Us Button,显示联系我们按钮
apps/erpnext/erpnext/public/js/event.js,Add Employees,添加员工
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,The selected payment entry should be linked with a creditor bank transaction,所选付款凭证应与债权人银行交易相关联
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,To Date cannot be before From Date,到日期不能早于日期
apps/erpnext/erpnext/public/js/event.js,Add Suppliers,添加供应商
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Mode of Transport,交通方式
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,{}需要生成e-Way Bill JSON
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Fetch based on FIFO,基于FIFO获取
apps/erpnext/erpnext/www/all-products/index.html,No values,没有价值
DocType: Production Plan,Download Materials Required,下载所需物料
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Release date must be in the future,解除冻结日期必须晚于今天
DocType: Payment Entry,Get Outstanding Invoice,获取待处理发票
DocType: Pricing Rule,Max Amt,最大金额
apps/erpnext/erpnext/templates/pages/home.html,By {0},到{0}
DocType: GSTR 3B Report,Invoices with no Place Of Supply,没有供应地的发票
DocType: Invoice Discounting,Loan End Date,贷款结束日期
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Creating bank entries...,创建银行凭证......
DocType: Stock Entry,Stock Entry Type,移动类型
DocType: Quality Action Table,Responsible,主管
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Maximum attempts for this quiz reached!,达到此测验的最大尝试次数！
DocType: Chart of Accounts Importer,Chart Preview,图表预览
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be negative,分配数量不能为负数
DocType: Education Settings,LMS Settings,学习系统设置
DocType: Shift Type,Early Exit Grace Period,早退宽限期
apps/erpnext/erpnext/regional/italy/setup.py,"Applicable if the company is SpA, SApA or SRL",如果公司是SpA，SApA或SRL，则适用
DocType: GSTR 3B Report,September,九月
DocType: Item,Manufacturers,生产厂商
DocType: Plaid Settings,Link a new bank account,关联新的银行帐户
apps/erpnext/erpnext/buying/report/purchase_analytics/purchase_analytics.js,based_on,基于
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Party can only be one of ,派对只能是其中之一
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Start entering data from here : ,从这里开始输入数据：
apps/erpnext/erpnext/templates/pages/home.html,Publications,出版物
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Budget,预算总额
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,Set Start Time and End Time for  \					Support Day {0} at index {1}.,在索引{1}处为\支持日{0}设置开始时间和结束时间。
DocType: Opportunity,Sales Stage,销售阶段
DocType: Item Reorder,Re-order Level,重订货点
DocType: Shift Type,Enable Auto Attendance,启用自动出勤
DocType: Quiz Activity,Quiz Activity,测验访问记录
apps/erpnext/erpnext/config/support.py,Issue Type.,问题类型。
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Reserved Qty: Quantity ordered for sale, but not delivered.",预留数量：预留给销售订单但尚未出货的数量。
apps/erpnext/erpnext/accounts/page/pos/pos.js,{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0}是强制性的。可能没有为{1}到{2}创建货币兑换记录
DocType: Pricing Rule,Advanced Settings,高级设置
DocType: Project,Message will sent to users to get their status on the project,将向用户发送消息以获取其在项目上的状态
DocType: Pricing Rule Detail,Rule Applied,适用规则
DocType: Shopping Cart Settings,Enable Shopping Cart,启用购物车
DocType: Pricing Rule,Apply Rule On Other,规则适用于其它
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Make,创建
apps/erpnext/erpnext/controllers/buying_controller.py,Following items {0} are not marked as {1} item. You can enable them as {1} item from its Item master,以下物料{0}未标记为{1}物料。您可以从物料主数据中进行设置
DocType: Quiz,Passing Score,及格分数
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Pin Code,PIN码
apps/erpnext/erpnext/projects/doctype/project/project.js,Set Project and all Tasks to status {0}?,将项目和所有任务设置为状态{0}？
apps/erpnext/erpnext/setup/doctype/terms_and_conditions/terms_and_conditions.py,At least one of the Applicable Modules should be selected,应选择至少一个适用模块
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,"As raw materials projected quantity is more than required quantity, there is no need to create material request.			Still if you want to make material request, kindly enable <b>Ignore Existing Projected Quantity</b> checkbox",由于原材料预计数量超过所需数量，因此无需创建物料申请。如果您想要生成物料申请，请启用<b>忽略现有预计数量</b>复选框
DocType: Employee,Default Shift,默认班次
DocType: Article,LMS User,LMS用户
DocType: Email Digest,Open Quotations,待处理报价单
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Pending Quantity,待处理数量
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select to add Serial Number.,选择添加序列号。
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Net ITC Available(A) - (B),净ITC可用（A） - （B）
apps/erpnext/erpnext/public/js/education/lms/quiz.js,Something went wrong while evaluating the quiz.,评估测验时出了点问题。
DocType: Work Order,Skip Material Transfer to WIP Warehouse,无须转仓-生产发料至在制品仓
DocType: Training Event Employee,Feedback Submitted,反馈已提交
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,第{0}行生产工单{3}成品数量{2}工序{1}未完成。请在工票{4}上更新工序状态。
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,"Start and end dates not in a valid Payroll Period, cannot calculate {0}",开始和结束日期不在有效的工资核算期内，无法计算{0}
DocType: Email Digest,Sales Orders to Bill,待开票销售订单
DocType: Company,For reference only.,仅供参考
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Row {0}: asset is required for item {1},行{0}：项{1}需要资产
apps/erpnext/erpnext/accounts/doctype/subscription_plan/subscription_plan.py,Billing Interval Count cannot be less than 1,账单间隔计数不能小于1
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,View all issues from {0},查看{0}中的所有问题
DocType: Shift Type,Working hours below which Absent is marked. (Zero to disable),上班时间低于视为缺勤时间。（设为零不启用此功能）
apps/erpnext/erpnext/config/support.py,Issue Priority.,问题优先级。
DocType: Accounts Settings,Address used to determine Tax Category in transactions.,业务交易用于决定税别的地址
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Fetching records......,获取记录......
DocType: Delivery Stop,Contact Information,联系信息
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,查找关联付款
,Invoiced Amount (Exclusive Tax),发票金额（不含税）
apps/erpnext/erpnext/config/getting_started.py,Data Import and Settings,数据导入与设置
DocType: Shift Type,The time before the shift start time during which Employee Check-in is considered for attendance.,上班前签到视作出勤。
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.js,Create Invoice,创建发票
DocType: Company,Sales Settings,销售设置
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Create Payment Entries,创建付款凭证
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Price not found for item {0} in price list {1},针对价格表{1}的物料{0}价格未定义
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please check the error log for details about the import errors,有关导入错误的详细信息，请查看错误日志
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Detailed Reason,详细原因说明
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.py,The total allocated amount ({0}) is greated than the paid amount ({1}).,总分配金额（{0}）比付款金额（{1}）更重要。
DocType: Item,Is Customer Provided Item,是客供物料
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,End Date of Agreement can't be less than today.,协议结束日期不能早于今天。
apps/erpnext/erpnext/stock/__init__.py,Please set Account in Warehouse {0} or Default Inventory Account in Company {1},请在仓库{0}中设置科目或在公司{1}中设置默认库存科目
apps/erpnext/erpnext/stock/doctype/item_variant_settings/item_variant_settings.py,Cannot set the field <b>{0}</b> for copying in variants,无法设置允许字段<b>{0}</b>复制到实物料号
DocType: Production Plan Item,Make Work Order for Sub Assembly Items,创建子装配件生产工单
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reason for hold: ,冻结原因：
DocType: Payment Reconciliation Payment,Allocated Amount,已分配金额
apps/erpnext/erpnext/stock/report/product_bundle_balance/product_bundle_balance.py,'Date' is required,&#39;日期&#39;是必需的
DocType: Email Digest,Bank Credit Balance,银行信贷余额
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,Show Cumulative Amount,显示累计金额
DocType: Purchase Invoice,Additional DIscount Percentage,额外折扣百分比
DocType: Agriculture Task,Task Name,任务名称
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,No pending Material Requests found to link for the given items.,指定物料没有对应的待处理物料申请。
DocType: Content Question,Question Link,问题链接
apps/erpnext/erpnext/templates/includes/cart/cart_items.html,Add notes,添加备注
apps/erpnext/erpnext/templates/generators/item/item_configure.js,{0} items found.,找到{0}个物料。
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Vouchers,处理优惠券
DocType: Support Settings,Allow Resetting Service Level Agreement,允许重置服务水平协议
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Invoice,新发票
DocType: Accounts Settings,Automatically Fetch Payment Terms,自动获取付款条款
,Delayed Item Report,迟交物料报表
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot set multiple Item Defaults for a company.,无法为公司设置多个物料默认值。
DocType: Cashier Closing,To TIme,结束时间
DocType: Quality Action,Quality Review,质量审查
DocType: Material Request Plan Item,Customer Provided,由客户提供
apps/erpnext/erpnext/regional/india/utils.py,Either GST Transporter ID or Vehicle No is required if Mode of Transport is Road,如果运输方式为道路，则需要GST运输车ID或车辆号
DocType: Quiz,Enter 0 to waive limit,0表示不限次数
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.js,Opportunities by lead source,机会（按线索来源）
DocType: Delivery Settings,Delay between Delivery Stops,各交货点之间的时间
DocType: Promotional Scheme,Promotional Scheme Product Discount,促销计划产品折扣
apps/erpnext/erpnext/support/doctype/issue_priority/issue_priority.py,Issue Priority Already Exists,问题优先级已经存在
DocType: POS Closing Voucher,Total Collected Amount,总收款金额
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,As per section 17(5),根据第17（5）条
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,Received Stock Entries,收货记录
DocType: Opportunity,Opportunity Amount,机会金额
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Amount,采购订单金额
DocType: Issue,Service Level Agreement Fulfilled,达成服务水平协议
DocType: Quality Review,Additional Information,附加信息
apps/erpnext/erpnext/templates/generators/item/item_configure.js,1 exact match.,1完全匹配。
DocType: Customer,Account Manager,客户经理
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,'employee_field_value' and 'timestamp' are required.,&#39;employee_field_value&#39;和&#39;timestamp&#39;是必需的。
DocType: Shift Type,Working hours below which Half Day is marked. (Zero to disable),工时低于标记的半天。 （设为零不启用此功能）
DocType: Support Settings,Track Service Level Agreement,跟踪服务水平协议
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0} is added in the child company {1},子公司{1}中添加了科目{0}
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Qty per BOM Line,物料清单用量
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,内向供应（需冲销费用
DocType: Bank Transaction Payments,Bank Transaction Payments,银行交易付款
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,生产数量不能小于零
DocType: Leave Control Panel,Allocate Leaves,分配休假
DocType: Quality Procedure,Parent Procedure,父程序
apps/erpnext/erpnext/www/all-products/index.html,Toggle Filters,切换过滤器
DocType: Shift Type,Process Attendance After,在...之后处理出勤
DocType: Lost Reason Detail,Opportunity Lost Reason,丢单原因
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is a limited liability company,适用于有限责任公司公司
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get Items From,获取物料
apps/erpnext/erpnext/config/selling.py,Invoices for Costumers.,客户发票。
,Sales Partner Commission Summary,销售合作伙伴佣金汇总
DocType: Question,Single Correct Answer,单一正确答案
DocType: Pricing Rule,Party Information,往来单位信息
DocType: Shift Type,Enable Exit Grace Period,启用早退宽限期
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Select finance book for the item {0} at row {1},为行{1}中的项{0}选择账簿
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"From a supplier under composition scheme, Exempt and Nil rated",来自组成计划下的供应商，免税和零评级
DocType: Leave Control Panel,Employee (optional),员工（可选）
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.js,Create Loan,创建贷款
apps/erpnext/erpnext/regional/italy/utils.py,Please set Fiscal Code for the customer '%s',请为客户&#39;％s&#39;设置财务代码
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Serial Numbers,序列号
DocType: GSTR 3B Report,February,二月
apps/erpnext/erpnext/stock/report/delayed_item_report/delayed_item_report.py,Actual Delivery Date,实际出货日期
apps/erpnext/erpnext/accounts/report/account_balance/account_balance.js,Chargeble,Chargeble
apps/erpnext/erpnext/accounts/deferred_revenue.py,Error while processing deferred accounting for {0},处理{0}的延迟记帐时出错
apps/erpnext/erpnext/regional/italy/utils.py,Please set either the Tax ID or Fiscal Code on Company '%s',请在公司&#39;％s&#39;上设置税号或财务代码
,Sales Partner Target Variance based on Item Group,销售合作伙伴基于物料组的目标差异
DocType: Plaid Settings,Synchronize all accounts every hour,每小时同步所有帐户
DocType: Shift Type,Determine Check-in and Check-out,确定签到和签退
DocType: Quality Action,Quality Action,质量控制措施
DocType: Subscription,Generate Invoice At Beginning Of Period,在期初生成发票
apps/erpnext/erpnext/public/js/conf.js,Documentation,单据
DocType: Expense Claim,Expense Taxes and Charges,税/费
apps/erpnext/erpnext/utilities/activation.py,Create Lead,创建线索
DocType: Pricing Rule,Mixed Conditions,混合条件
DocType: Woocommerce Settings,"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".",此为物料和销售订单的默认计量单位。如果不设置则系统默认计量单位是""个""。
DocType: Course,Topics,主题
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Get Invoices based on Filters,根据过滤器获取发票
DocType: Products Settings,Enable Attribute Filters,启用属性过滤器
DocType: Quality Action Resolution,Quality Action Resolution,质量控制措施决议
,Subcontracted Raw Materials To Be Transferred,分包原材料将被转移
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,GSTIN无效！您输入的输入与UIN持有人或非居民OIDAR服务提供商的GSTIN格式不符
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Please enter Difference Account,请输入差异账户
DocType: QuickBooks Migrator,Authorization Settings,授权设置
apps/erpnext/erpnext/stock/doctype/item_manufacturer/item_manufacturer.py,Duplicate entry against the item code {0} and manufacturer {1},物料编号{0}和制造商{1}重复输入
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,GSTIN无效！ GSTIN的前2位数字应与州号{0}匹配。
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Create Inter Company Journal Entry,创建关联公司交易会计凭证
DocType: Homepage Section,Section Cards,分区卡片
DocType: Employee Skill Map,Employee Skill Map,员工技能矩阵
DocType: Woocommerce Settings,"The fallback series is ""SO-WOO-"".",默认系统流水号是“SO-WOO-”。
DocType: Quality Meeting Agenda,Quality Meeting Agenda,质量会议议程
apps/erpnext/erpnext/controllers/item_variant.py,Please do not create more than 500 items at a time,请不要一次创建超过500个物料
DocType: Accounts Settings,Over Billing Allowance (%),超额客户发票容差(%)
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Public token is missing for this bank,此银行缺少公共令牌
DocType: Employee Tax Exemption Category,Max Exemption Amount,最高免税额
DocType: Timesheet,TS-.YYYY.-,TS-.YYYY.-
apps/erpnext/erpnext/stock/doctype/item/item.py,Variant Based On cannot be changed,Variant Based On无法更改
DocType: Tally Migration,Processed Files,已处理的文件
DocType: Employee,Attendance Device ID (Biometric/RF tag ID),考勤设备(生物识别/RFID)
apps/erpnext/erpnext/config/quality_management.py,Review and Action,评审和控制措施
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,导入主数据
DocType: Payment Order,Payment Order Type,付款订单类型
DocType: Salary Slip,Loan Repayment,偿还借款
apps/erpnext/erpnext/config/buying.py,Supplier Addresses And Contacts,供应商地址与联系人
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_settings.py,Please setup a default bank account for company {0},请为公司{0}设置默认银行帐户
DocType: Pricing Rule,Min Amt,最小金额
apps/erpnext/erpnext/regional/italy/setup.py,Set this if the customer is a Public Administration company.,如果客户是公共管理公司，请设置此项。
DocType: Salary Component,Depends on Payment Days,基于付款天数
DocType: Homepage Section,Section HTML,部分HTML
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,New {0} pricing rules are created,创建新的{0}定价规则
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/item_group_wise_sales_target_variance.py,Achieved ({}),达到（{}）
apps/erpnext/erpnext/erpnext_integrations/doctype/quickbooks_migrator/quickbooks_migrator.js,Fetch Data,获取数据
apps/erpnext/erpnext/education/doctype/student_leave_application/student_leave_application.py,Leave application {0} already exists against the student {1},针对学生{1}已经存在申请{0}
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Authentication Failed,身份验证失败
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,No Employee found for the given employee field value. '{}': {},找不到给定员工字段值的员工。 &#39;{}&#39;：{}
DocType: Delivery Settings,Delivery Settings,出货设置
DocType: Employee Checkin,Exit Grace Period Consequence,早退宽限期后果
DocType: Delivery Settings,Send with Attachment,发送附件
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from submitted document,e-Way Bill JSON只能从提交的单据中生成
DocType: POS Closing Voucher,Expense Amount,费用金额
apps/erpnext/erpnext/hr/utils.py,More than one selection for {0} not allowed,不允许对{0}进行多次选择
apps/erpnext/erpnext/quality_management/doctype/quality_procedure/quality_procedure.py,{0} already has a Parent Procedure {1}.,{0}已有父程序{1}。
apps/erpnext/erpnext/www/all-products/not_found.html,No products found,没有找到产品
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Reserved Qty for Production: Raw materials quantity to make manufacturing items.,生产预留数量：为生产制造预留的原材料数量。
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Outward taxable supplies(zero rated),外向应税物资（零评级）
DocType: Purchase Invoice Item,Enable Deferred Expense,启用递延费用
DocType: Stock Entry Detail,Stock Entry Child,库存移动子表
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_dashboard.py,This is based on transactions against this Sales Person. See timeline below for details,基于该业务员经手交易量，详情请参阅表单下方日志记录
DocType: Course Content,Quiz,测验
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Reconcile this account,核销此科目
DocType: Tally Migration,Day Book Data,日簿数据
DocType: QuickBooks Migrator,Authorization Endpoint,授权端点
apps/erpnext/erpnext/hr/doctype/loan/loan.js,Create Repayment Entry,创建还款凭证
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Process Day Book Data,处理日书数据
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Do you want to submit the material request,您要提交材料申请吗？
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Request for Raw Materials,原材料物料申请
apps/erpnext/erpnext/config/quality_management.py,Quality Goal.,质量目标。
apps/erpnext/erpnext/templates/pages/projects.js,Show Open,显示未完成
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,New release date should be in the future,新的解除冻结日期必须晚于今天
DocType: Quality Procedure Process,Process Description,流程描述
DocType: Pricing Rule,Quantity and Amount,数量和金额
DocType: Employee Tax Exemption Declaration Category,Maximum Exempted Amount,最高免税金额
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} is not the default supplier for any items.,{0}未被设置为任一物料的的默认供应商。
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Values of exempt, nil rated and non-GST inward supplies",豁免，零税率和非商品及服务税内向供应的价值
DocType: Additional Salary,Deduct Full Tax on Selected Payroll Date,发薪日扣税
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,最后一次尾气检查日期不能是未来的日期
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Bank account '{0}' has been synchronized,银行帐户“{0}”已同步
DocType: GSTR 3B Report,December,十二月
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Valid from date must be less than valid upto date,开始日期必须早于截止日期
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Amount(Company Currency),采购订单金额（公司货币）
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Projected Quantity Formula,预计数量公式
apps/erpnext/erpnext/regional/italy/utils.py,Row {0}: Please set the correct code on Mode of Payment {1},行{0}：请在付款方式{1}上设置正确的代码
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee status cannot be set to 'Left' as following employees are currently reporting to this employee:&nbsp;,员工状态不能设置为“已离职”，因为以下员工的上级主管被设置为了该员工：
DocType: Exotel Settings,Exotel Settings,Exotel设置
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Payment Tems,付款方式
apps/erpnext/erpnext/config/accounting.py,Opening and Closing,开帐与关帐
DocType: Production Plan Item,Quantity and Description,数量和描述
apps/erpnext/erpnext/controllers/stock_controller.py,Quality Inspection: {0} is not submitted for the item: {1} in row {2},未提交第{2}行中物料{1}的质量检验{0}
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.js,Show {0},显示{0}
apps/erpnext/erpnext/support/doctype/issue/issue.js,Service Level Agreement Reset.,服务水平协议重置。
apps/erpnext/erpnext/templates/generators/item/item_configure.js,{0} item found.,找到{0}项。
,Subcontracted Item To Be Received,待收货外包物料
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,总完工数量不能大于订单数量
apps/erpnext/erpnext/stock/doctype/item/item.py,Enable Auto Re-Order,启用自动重新排序
,Trial Balance (Simple),试算平衡（简单）
DocType: Pricing Rule,Promotional Scheme,促销计划
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Total flexible benefit component amount {0} should not be less than max benefits {1},总弹性福利金额{0}不应低于最高福利金额{1}
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Admission and Enrollment,招生与注册
apps/erpnext/erpnext/erpnext_integrations/connectors/shopify_connection.py,Tax Account not specified for Shopify Tax {0},没有为Shopify Tax {0}指定税务帐户
DocType: Lab Test,LP-,LP-
DocType: Employee Checkin,OUT,签出
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Amount of Integrated Tax,综合税额
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Negotiation/Review,谈判/评审
DocType: Bank Reconciliation,From Date,开始日期
DocType: Accounts Settings,Unlink Advance Payment on Cancelation of Order,取消订单时移除关联的预付款
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,Download JSON,下载JSON
DocType: Pricing Rule,Product Discount Scheme,产品折扣计划
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Creating Company and Importing Chart of Accounts,创建公司并导入会计科目表
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign to Employees,分配给员工
DocType: Quiz Result,Selected Option,已选项
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Bank Data mapper doesn't exist,银行数据映射器不存在
DocType: Bank Account,GL Account,总帐科目
DocType: QuickBooks Migrator,Default Shipping Account,默认装运帐户
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Plaid transactions sync error,格子交易同步错误
apps/erpnext/erpnext/config/integrations.py,Connect your bank accounts to ERPNext,将您的银行帐户连接到ERPNext
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.js,Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,密码策略不能包含空格或同时连字符。格式将自动重组
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,ERPNext could not find any matching payment entry,ERPNext未找到任何匹配的付款凭证
DocType: Item Tax Template Detail,Item Tax Template Detail,物料税模板详细信息
DocType: Task,Dependent Tasks,相关任务
